"{""created_at"":""Thu Mar 12 23:40:35 +0000 2020""",id:1238248555917258753,"['want', 'sign', 'today', 'see', 'really', 'clean', '\\ud83d\\udd25\\u2764\\ufe0f\\u2026', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:35 +0000 2020""",id:1238248555938185218,"['fundraiser', 'closes', 'today', '12am', 'kst', 'already', 'raised', 'sufficient', 'funds', 'cover', 'legal', 'costs', 'please', 'compl\\u2026', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:35 +0000 2020""",id:1238248556051542026,"['damn', '\\n\\ni\\u2019m', 'dying', 'counting', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:35 +0000 2020""",id:1238248555241975809,"['itchy', 'eye', 'today', 'store', 'toure', 'rub']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248556361912321,"['morning', 'getting', 'sweet', 'night', 'today', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248556286431232,"['toke', 'maggiano\\u2019s', 'n', 'feeling', 'v', 'pretty', 'today', '\\u2728', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248556496138240,"['witnessed', 'funniest', 'shit', 'mccguffey', 'market', 'today', '\\ud83d\\ude02\\ud83d\\ude02\\ud83d\\ude02\\ud83d\\ude02\\ud83d\\ude0']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248556588339200,[]
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248556630282240,"['sending', 'love', 'fans', 'around', '\\ud83c\\udf0e', 'even', 'though', 'worldfigure', 'cancelled']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248556559060995,"['practically', 'performance', 'a.', 'please', 'watch', 'prepare', 'blown']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557012017153,['today']
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557028806657,"['climate', 'change', 'greatest', 'threat', 'facing', 'humanity', 'today', 'announced', 'plans', 'climate', 'justice', 'section', 'labo\\u2026', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557200781314,"['spoke', 'trump', 'today', 'work', 'we\\u2019re', 'manage', 'impacts', 'covid-19', 'get', 'details', 'con\\u2026', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557443981318,"['safe', 'assets', 'sta', 'crash', 'alongside', 'equities']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557444022276,"['best', 'thing', 'say', 'today', 'tomorrow', 'another', 'day', 'hit', 'rock', 'bottom']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557569851392,"['14yrs', 'ago', 'bush', 'jr', 'signed', 'reauthorization', '\\u2018patriot', 'act\\u201now', 'fast', 'forward', 'today', 'amp', 'given', 'horrible', 'fisaabuses', 'that\\u2026', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557737586689,"['coronavirus', 'tweets', 'one', 'week', 'ago', 'haha', ""'m"", 'touching', 'face', 'even', 'ever', '\\n\\ncoronavirus', 'tweets', 'one', 'week', 'tod\\u2026', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557825720323,"['thinking', 'dear', 'friend', 'today', 'happy', 'bihday', 'love', 'miss', 'much', '\\ud83d\\udc9a', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557813121024,"['stormy', 'today']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557964075010,"['thank', 'much', ""'m"", 'pretty', 'bummed', ""'s"", 'new', 'cases', 'confirmed', 'today', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557880188930,"['haven\\u2019t', 'watched', 'video']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248556965900288,"['vacation', 'i\\u2019m', 'really', 'trying', 'ignore', 'ed', 'enjoy', 'trip', 'bought', 'donuts', 'everyone', 'today']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557762818049,"['good', 'government', 'work']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558077362182,"['sta', 'practicing', 'social', 'distance', 'it\\u2019s', 'rude', 'it\\u2019s', 'considerate']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248557867663365,"['im', 'honestly', 'trying', 'hold', 'back', 'emotions']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558123515905,"['senate', 'dragging', 'heels', 'coronavirus', 'today']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558119260166,"['senate', 'republicans', 'voted', 'emergency', 'paid', 'sick', 'leave', 'coronavirus', 'victims']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558417063936,"['today', 'right', 'put', 'hair']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558547161088,"['coronavirus', 'taken', 'everything', 'work', 'away', 'gym', 'nope', 'oreillys', 'today', 'eir', 'yup', 'les', 'go', 'guys\\ud83d\\ude43\\ud83d\\ude43', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558438035456,"['soo', 'fuckex', 'today', 'everything', 'died', 'ton', 'rhe', 'time', 'shift', 'supposed', 'tend', 'stayed\\u202']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558475829248,"['change', 'name', 'katie', 'fucking', 'poer', 'katie', 'fucking']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558916239361,[]
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558786162688,"['update', 'post-student', 'life', 'chaos', 'panic', 'bought', '\\u201clsu', 'alumni\\u201d', 'sweatshi', 'work', 'linkedin', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558115074048,"['got', 'hbic', 'shi', 'delivered', 'today', 'hopefully', 'nxtftpierce', 'still', 'happen', '3\\/2so', 'wear', 'th\\u202']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558903648259,"['live', 'marion', 'county']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559046164480,"['three', 'months', 'virus', 'spreading']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559054663681,"['safety', 'fans']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559096614912,"['biden', 'always', 'surrounded', 'super-sma', 'people', 'trump', 'surrounded', 'sebastian', 'gorka']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559411105793,"['math', 'full', 'battery', 'coronavirus', 'testing', 'costs', 'minimum', '1']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559331479555,"['v\\u2019s', 'self', 'produced', 'ost', 'drama', '\\u2018itaewon', 'class\\u201will', 'coming', 'today', '6pm', 'kst', '\\n\\nlet\\u2019s', 'trend', 'sweetnightapproa\\u2026', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559494995968,"['math', 'full', 'battery', 'coronavirus', 'testing', 'costs', 'minimum', '1']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559620820995,['mean']
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559834693637,"['far', 'best', 'coronavirus', 'writing', 'seen', 'thus', 'far', 'clear', 'analysis']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559872483330,[]
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248558891077632,"['line', 'one', 'counter', 'frills', 'today']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559977410561,"['scomo', 'thinks', 'it\\u2019s', 'hoax', 'like', 'climate', 'change', 'he\\u2019s', 'encouraging', 'everyone', 'go', 'th\\u2026', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248560040304641,"['usually', 'don\\u2019t', 'got', 'time', 'today', ""''""]"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248560237449217,"['schools', 'close']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248560329732096,"['picked', 'today', 'twitter', 'friends']"
"{""created_at"":""Thu Mar 12 23:40:37 +0000 2020""",id:1238248560430329856,"['live', 'audiences', 'tv', 'shows', 'getting', 'cancelled', 'corona', 'virus', '\\ud83d\\ude2d\\ud83d\\ude2d', 'i\\u2019ve', 'gotten', 'like', 'emails', 'today']"
"{""created_at"":""Thu Mar 12 23:40:37 +0000 2020""",id:1238248560497475584,"['haven\\u2019t', 'watched', 'video']"
"{""created_at"":""Thu Mar 12 23:40:37 +0000 2020""",id:1238248560463937536,"['barely', 'two', 'months', 'later', '11']"
"{""created_at"":""Thu Mar 12 23:40:36 +0000 2020""",id:1238248559700566017,"['jj', 'ii\\u2019s']"
"{""created_at"":""Thu Mar 12 23:40:37 +0000 2020""",id:1238248560627515392,"['math', 'full', 'battery', 'coronavirus', 'testing', 'costs', 'minimum', '1']"
"{""created_at"":""Thu Mar 12 23:40:37 +0000 2020""",id:1238248560740782094,"['absolute', 'moral', 'imperative', 'response', '\\u201as', 'government']"
"{""created_at"":""Thu Mar 12 23:40:37 +0000 2020""",id:1238248561042771969,"['jmmc', 'places', 'moratorium', 'motor', 'spo', 'events', 'listed', 'national', 'motor', 'sport', 'calendar', 'may', '31']"
"{""created_at"":""Thu Mar 12 23:40:37 +0000 2020""",id:1238248561298546688,"['nochmal', 'jeder', 'der', 'englisch', 'lesen', 'kann']"
"{""created_at"":""Thu Mar 12 23:40:37 +0000 2020""",id:1238248560933683201,"['small', 'share', 'available', 'repo', 'facilities', 'used', 'far', 'today', ""'s"", 'fed', 'actions', 'intended', 'be\\u202']"
