,0
30,"['rexthetvterrier', 'thats', 'one', 'momss', 'choices', 'thingenjoy', 'ud83dudc8b']"
31,"['rt', 'visionadesigns', 'wire', 'wiregage', 'nhd', 'httpstcorle0bykgugnenjoy', 'httpstcogobwd4lmpq']"
32,"['rt', 'twatch_me_', 'shouldnt', 'enjoy', 'isolation', 'much', 'world', 'much']"
33,"['rt', 'supangelica', 'anyways', 'feel', 'super', 'cute', 'today', 'ofc', 'canu2019t', 'get', 'pics', 'enjoy', 'httpstco3u7y22occy']"
34,"['rt', 'vasuki00pakathu', 'veetu', 'aunty', 'semmaya', 'enjoy', 'panra', 'ba', 'ud83dude18ud83dude18ud83dude18ud83dude18daily', 'ud83dude0dud83dude0dud83dude0dud83dude0dnrt_cmt_follow', 'httpstcoobojeszeqx']"
35,"['edfphotos', 'ettin6arthur_affect', 'milesparks', 'oh', 'well', 'enjoy', 'decent', 'discussion', 'rather', 'rabid', 'hatred', 'ud83dude0e']"
36,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
37,['morningnnu3069u3093u3069u3093u5ef6u671fu304cu6c7au307eu3063u3066u3044u304fu3002nu30a2u30ebu30bcu30f3u30c1u30f3gpu3082u5ef6u671fu3068u767au8868u3055u308cu305fu3002nmotogpu597du304du306au8eabu3068u3057u3066u306fu6b8bu5ff5u3067u306au3089u306au3044u3002u3002u3002nu305du308cu3067u3082u4e16u754cu304cu8eabu8fd1u306au3093u3060u306au3068u611fu3058u308bu4e8bu3067u306fu3042u308bu306du3002u4ecau8d77u3053u3063u3066u308bu4e8bu306fu30d5u30a3u30afu30b7u30e7u30f3u3058u3083u306au3044u3002nu3067u304du308bu4e8bu3092u3084u3063u3066u3044u3053u3046u3002nnu4ecau65e5u3082enjoy']
38,"['hope', 'enjoy', 'years', 'dt']"
39,"['follow', 'us', 'enjoy', 'bring', 'engine', 'fire', 'enginefireon', 'httpstcof3y3nh7scor', 'httpstcodor5wo4qnq']"
40,"['rt', 'tangledoian', 'ud835udcc3ud835udcb6ud835udcc9ud835udccaud835udcc7ud835udc5ud835udcc1ud835udc5cud835udccbud835udc52ud835udccx', 'ethandolannnenjoy', 'p', 'httpstco8bauxew1ju']"
41,"['mmm', 'really', 'enjoying', 'salads', 'lately', 'like', 'include', 'tomatoes']"
42,"['rt', 'omarabushaib', 'trying', 'go', 'day', 'enjoy', 'lifenncoronavirus', 'httpstcouyzsmceitf']"
43,"['rt', 'renjunsaries', 'enjoy', 'watching', 'jisung', 'cut', 'dance', 'practice', 'much', 'like', 'really', 'nailed', 'thatn', 'httpstcojbkqhphqsf']"
44,"['females', 'like', 'bitch', 'bye', 'enjoy', 'yo', 'day', 'bitch', 'u', 'jus', 'ruined', 'day', 'tf', 'u', 'mean']"
45,"['actually', 'enjoy', 'huntnnim', 'finding', 'many', 'awesome', 'pieces', 'track', 'sauce', 'u202httpstco4f9eu89sj8']"
46,"['usually', 'enjoy', 'listening', 'gersnet', 'podcast', 'canu2019t', 'stand', 'stewart', 'guy', 'could', 'take', '20mins', 'time']"
47,"['rt', 'malumstrashcan', 'michael5sos', 'hi', 'would', 'enjoy', 'spare', 'follow', 'one', 'give']"
48,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
49,"['leafhvrricane', 'lee', 'enthusiast', 'moot', 'im', 'familiar', 'enjoy', 'seeing', 'tl']"
50,"['tyler_casper', 'like', 'privacy', 'much', 'enjoy', 'visiting', 'strangers', 'donu2019t', 'want', 'close', 'quarters']"
51,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
52,"['marcus_sniffles', 'dream_chaser12i', 'want', 'good', 'team', 'itu2019s', 'hard', 'enjoy']"
53,"['rock', '202with', 'radio', 'rock', 'enjoy', 'listening', 'sharp', 'dressed', 'man', 'zz', 'top', 'get', 'paid', 'httpstcookwxacu8as', 'clicku202httpstcoz61bx7sxqn']"
54,"['sweets_charity', 'thecaramarlo', 'good', 'enjoy', 'smiles', 'thanks', 'follow', 'ud83dude0a']"
55,"['rt', 'fdlm3incase', 'missed', 'fantastic', 'matchnliverpool', '2atleticonnplease', 'enjoy', 'goalsud83dudd25ud83dude0dnnvia', 'top5vid', 'nnlivatl', 'nn', 'httpstcu2026']"
56,"['rt', 'caratmom_100this', 'love', 'boys', 'fun', 'watch', 'genuinely', 'enjoy', 'others', 'company', 'one', 'funniestu2026']"
57,"['binnassema', 'febiill', 'yemendata', 'wfp', 'okay', 'bro', 'enjoy', 'u0627u0644u062du0648u062bu064a', 'ud83eudd2a']"
58,"['rt', 'visaboyy', 'incase', 'missed', 'fantastic', 'matchnliverpool', '2atleticonnplease', 'enjoy', 'goalsud83dudd25ud83dude0dnnvia', 'top5vid', 'nnlivatl', 'nn', 'httpstu2026']"
59,"['brittanyspectac', 'cafreviews_com', 'appreciate', 'calling', 'guarantees', 'enjoy', 'ensure', 'tu202httpstcojcwju9vxtz']"
60,"['rt', 'mikomihokina', 'like', 'esdeath', 'set', 'yesterday', 'nnit', 'ddl', '50k', 'times', 'incrediblennyou', 'enjoy', 'anu2026']"
61,"['rt', 'evanshanks', 'tx2k', 'might', 'ok', 'since', 'theyu2019re', 'little', 'ways', 'outside', 'city', 'iu2019ll', 'get', 'face', 'mask', 'go', 'enjoy', 'racing', 'ud83dude02']"
62,"['sarabethpollock', 'people', 'care', 'iu2019m', 'glad', 'enjoy', 'ice', 'cream', 'soon']"
63,"['itu2019s', 'time', 'work', 'iu2019m', 'going', 'enjoy', 'work', 'much', 'tweet', 'later']"
