,0
161,"['godofgluttony', 'morganmills199but', 'aubrey', 'reason', 'enjoy', 'performance', 'lenny', 'ud83dude0f', 'instantly', 'became', 'fau202httpstcoywemu769oj']"
162,"['rt', 'viji7317535late', 'nigt', 'enjoy', 'husbend', 'romba', 'mod', 'panitaruu2764ufe0f', 'rt', 'pana', 'dm', 'panven', 'httpstcoj13kopqhav']"
163,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
164,"['check', 'snippet', 'recent', 'vegas', 'trip', 'ud83dudc47ud83cudffbenjoy', 'donu2019t', 'forget', 'like', 'subscribe', 'ud83dude4httpstco3ofdkuzvam']"
165,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
166,"['rt', 'rtdumbass', 'work', 'hard', 'missbfindom', 'relax', 'enjoy', 'day', 'nnmake', 'sure', 'pay', 'thank', 'honour', 'nnburattinop', 'rtl0seru2026']"
167,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
168,"['wish', 'worked', 'pussy', 'companies', 'canceling', 'shit', 'maybe', 'could', 'enjoy', 'time', 'stupidity', 'fuckoff']"
169,"['rt', 'mikomihokina', 'like', 'esdeath', 'set', 'yesterday', 'nnit', 'ddl', '50k', 'times', 'incrediblennyou', 'enjoy', 'anu2026']"
170,"['really', 'enjoy', 'sun', 'longer']"
171,"['arkhamlibrarian', 'surprises', 'enjoy', 'books']"
172,"['rt', 'nitenday8_', 'else', 'loves', 'fucking', 'dude', 'packing', 'alot', 'dick', 'well', 'know', 'throughly', 'enjoy', 'linking', 'withnnsee', 'mu2026']"
173,"['foragednature', 'abbstab', 'thought', 'youu2019d', 'enjoy']"
174,"['rt', 'playboydiorr', 'hi', 'u', 'see', 'means', 'ur', 'gon', 'na', 'bomb', 'ass', 'day', 'today', 'enjoy', 'hoe']"
175,"['rt', 'mywritersnook', 'bookreview', 'httpstcop43s5mvq7t', 'lindisfarne', 'terrytylerperfect', 'enjoy', 'thrilling', 'story', 'whichu2026']"
176,"['azunanhehehehe', 'good', 'morning', 'enjoy']"
177,"['davidwells222013boodicca', 'dondacamara', 'diajusta', 'isabelo2018305jenniferatntd', 'carolcarv9i', 'enjoy', 'freedomu202httpstcoumdequvy6d']"
178,"['rt', 'fdlm3incase', 'missed', 'fantastic', 'matchnliverpool', '2atleticonnplease', 'enjoy', 'goalsud83dudd25ud83dude0dnnvia', 'top5vid', 'nnlivatl', 'nn', 'httpstcu2026']"
179,"['rt', 'jpophappenings', 'jpop', 'company', 'decided', 'put', 'artists', 'concerts', 'youtube', 'people', 'enjoy', 'home', 'staying', 'safeu2026']"
