0,['hey\\ud83d\\ude0btoday'],['prepared'],['hot'],['\\ud83d\\udd25game'],['private'],['messages\\ud83d\\udc8c\\ud83e\\udd2d\\ud83e\\udd2b\\ud83d\\udc45\\ud83c\\udf46'],"[""'ll""]",['wait'],['you\\ud83d\\udca6\\ud83d\\ude08\\ud83d\\udc8b\\ud83d\\udd1e\\ud83d\\udc4subscribe'],,,,,,,,,,,,,,
42,['looking'],['something'],['feel'],['good'],['today'],['\\ud83d\\ude09\\ncheck'],['awesome'],['pictures'],['tampere'],['savepondhockey'],['tournamen\\u2026'],"[""''""]",,,,,,,,,,,
43,['personal'],['news'],['share'],['today'],['sophie'],['recently'],['returned'],['speaking'],['event'],['uk'],,,,,,,,,,,,,
44,['really'],['sent'],['blessing'],['today'],['\\ud83d\\ude02\\ud83d\\ude02\\ud83d\\ude02'],"[""''""]",,,,,,,,,,,,,,,,,
45,['days'],['ago'],['bolsonaro'],['said'],['coronavirus'],['fears'],['\\u20today'],['top'],['aide'],['tested'],['positive'],['amp'],['got'],['tested'],['a\\u2026'],"[""''""]",,,,,,,
46,['v\\u2019s'],['self'],['produced'],['ost'],['drama'],['\\u2018itaewon'],['class\\u201will'],['coming'],['today'],['6pm'],['kst'],['\\n\\nlet\\u2019s'],['trend'],['sweetnightapproa\\u2026'],"[""''""]",,,,,,,,
47,['personal'],['news'],['share'],['today'],['sophie'],['recently'],['returned'],['speaking'],['event'],['uk'],,,,,,,,,,,,,
48,['\\u206guitarist'],['al'],['estrada'],['posting'],['10p'],['last'],['night'],['\\u206shows'],['postponed'],['yet'],['kiss'],['amp'],['venue'],['show'],['tonight'],['t\\u2026'],"[""''""]",,,,,,
49,['would'],['vote'],['senile'],['old'],['bastard'],"[""''""]",,,,,,,,,,,,,,,,,
50,['lisa'],['aware'],['happen'],['today'],['photobook'],['soldout'],['2hrs'],,,,,,,,,,,,,,,,
51,['welcome'],['back'],['abel'],['cedillo'],['rides'],['horses'],['today'],['tomorrow'],['heading'],['back'],,,,,,,,,,,,,
52,"[""'m""]",['glad'],['account'],['locked'],['city'],['murfreesboro'],['posted'],['message'],['similar'],['ealier'],['to\\u202'],,,,,,,,,,,,
