,0
202,"['rt', 'rose_la_reine', 'lauraleigh_xoxo', 'happy', 'hump', 'daaay', 'ud83dudc9ud83cudf5nhttpstco3ydtdckqvznhttpstcojzh6cg3mumn5off', 'snap', 'code', 'angel', 'httu2026']"
203,"['rt', 'tawarxhati', 'may', 'look', 'happy', 'outside']"
204,"['patobrien2thanks', 'pat', 'happy', 'holidays']"
205,"['bev_did', 'happy', 'birthday', 'im', 'happy', 'life', 'well', 'get']"
206,"['happy', 'place', 'u263aufe0f', 'httpstco23vgqq0ivh']"
207,"['rt', 'janelleey_', 'terryy_tiggerr', 'noahalonso1so', 'happy', 'guys', 'ltud83eudd7a']"
208,"['still', 'happy', 'placenblackbetty', 'trustysteed', 'httpstcodek7marunb']"
209,"['mindyabizz_', 'happy', 'birthday', 'ud83eudd73ud83eudd0d']"
210,"['rt', 'crumche_again', 'happy', 'decode', 'day', 'yall', 'httpstcohpgecun1kb']"
211,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
212,"['rt', 'heyitsmesalty', 'butter', 'makes', 'happy', 'butterdance', 'httpstcoju5zxxkhc6']"
213,"['watching', 'space', 'jam', 'bc', 'happy', 'time']"
214,"['rt', 'kolbierashell', 'attractive', 'thing', 'goofiness', 'wan', 'na', 'spend', 'rest', 'life', 'genuinely', 'happy', 'making', 'lau2026']"
215,"['rt', 'alyssa_schoener', 'youu2019re', 'happy', 'college', 'switching', 'online', 'classes', 'ur', 'friends', 'spend', 'rest', 'su2026']"
216,"['coompill', 'iu2019m', 'happy']"
217,"['rt', 'factsoup', 'know', 'youre', 'genuinely', 'happy', 'life', 'actually', 'want', 'best', 'people', 'worst']"
218,"['taejussmmelati', 'happy', 'birthday']"
219,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
220,"['rt', 'faze_rain', 'depressed', 'long', 'truly', 'believed', 'way', 'would', 'ever', 'happy', 'could', 'fucking', 'cry', 'hapu2026']"
221,"['rt', 'rihspectme', 'nostalgiaonfilm', 'happy', 'birthdayud83cudf88ud83cudf82']"
222,"['rt', 'faze_rain', 'depressed', 'long', 'truly', 'believed', 'way', 'would', 'ever', 'happy', 'could', 'fucking', 'cry', 'hapu2026']"
223,"['happy', 'astros', 'right', 'media', 'attention', 'literally', 'disappeared', 'thought', 'fans', 'atu202httpstcodxykied4jc']"
224,"['rt', 'parkjiminpics', 'jinmin', 'sang', 'happy', 'birthday', 'yoongi', 'ud83eudd7a', 'httpstcoqfgj010nca']"
225,"['rt', 'cultgoo', 'happy', 'think', 'koonsad', 'think', 'koonbusy', 'think', 'koonbored', 'think', 'koonyour', 'bfgf', 'broke', 'thu2026']"
226,"['rt', 'jesvs209being', 'happy', 'cool', 'fuck', 'like', 'everything', 'see', 'beautiful', 'lovely', 'shit']"
227,"['semetonalbert', 'happy', 'bu2019day', 'alberttud83eudd73']"
228,"['rt', 'ariellatg', 'happy', 'tittytuesday', 'everyone', 'ud83dudc8b', 'bbw', 'bbwlovers', 'tits', 'cumtribute', 'loosewomen', 'martesdetetasnatutales', 'httpstu2026']"
229,"['rt', 'mermaidmrym', 'itu2019s', 'okay', 'get', 'sad', 'itu2019s', 'okay', 'cry', 'canu2019t', 'happy', '24itu2019s', 'normal', 'feel', 'emotions', 'youu2019re', 'going', 'geu2026']"
230,"['happy', 'bought', 'ticket', 'critical', 'show', 'may', '2nd', 'steve', 'gunncass', 'mccombs', 'nhttpstcoti7eqytd2m']"
231,"['rt', 'finequote_s', 'hope', 'story', 'got', 'happy', 'ending', 'cuz', 'thru', 'shit', 'never', 'deserved']"
232,"['boy', 'make', 'happyud83eudd7a']"
233,"['rt', 'cciiilllllllaaa', 'happy', 'lthttpstcoq3owazzmfo']"
234,"['personally', 'handler', 'sick', 'program', 'got', 'demented', 'amp', 'power', 'happy', 'torture', 'amusement', 'im', 'taking', 'wild', 'guu202httpstcopflkjjbkpw']"
235,"['rt', 'barbaracorcoran', 'happy', 'tough', 'sentencing', 'harvey', 'weinstein', 'today', 'itu2019s', 'huge', 'step', 'forward', 'women', 'victimizedu2026']"
236,"['rt', 'danahleya', 'happy', 'international', 'womenu2019s', 'day', 'httpstcoctohqqeql7']"
237,"['hate', 'arguing', 'wit', 'someone', 'jus', 'wan', 'na', 'happy', 'ud83eudd70']"
238,"['rt', 'fresh69be', 'happy', 'ud83dude0a', 'httpstcobduwrdvt6g']"
239,"['really', 'love', 'seeing', 'people', 'happy', 'especially', 'people', 'know']"
240,"['rt', 'caaitlinn_happy', 'birthday', 'main', 'bitchud83duddabrittnaypolk_', 'httpstcodebm9bkbli']"
241,"['rt', 'barbiefobia', 'jimin', 'taehyung', 'smiley', 'happy', 'together']"
242,"['mrmoeothman', 'thatu2019s', 'explains', 'never', 'truly', 'happy', 'ud83dude02']"
243,"['seeing', 'old', 'friends', 'telling', 'u201cyou', 'look', 'happy', 'nowu201d', 'gtgtgtgtgt']"
244,"['asifan11ud83cudf38happy', 'birthdayud83cudf3httpstcootknny28sr']"
245,"['rt', 'factsoup', 'know', 'youre', 'genuinely', 'happy', 'life', 'actually', 'want', 'best', 'people', 'worst']"
246,"['rt', 'bangtansuji', 'wrote', 'wonderland', 'make', 'happy', 'httpstco7y5fahqrdq']"
247,"['plnknip', 'itu2019s', 'worth', 'iu2019m', 'happy', 'customer', 'ud83dude0dud83dude0d']"
248,"['getting', 'kids', 'sport', 'good', 'healthy', 'living', 'happy', 'amazing', 'shampoo', 'httpstconfet7p9s24']"
249,"['mom', 'walked', 'arcade', '31basketball', 'jersey', 'happy', '31day', 'everyone']"
250,"['rt', 'tropaldubcavite', 'letu2019s', 'mga', 'k', 'adn', 'ud83dude4fud83dude4fud83dude4fud83dude4fnhappy', 'aldubxadn243rdweeksary', 'naldubftnqt', 'nsalvesayson', 'nwengcookie', 'niam_ginghs', 'nalduu2026']"
251,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
252,"['everyone', 'say', 'happy', 'birthday', 'hrh', 'prince', 'dickhead']"
253,"['rt', 'liltunechi9u', 'wan', 'na', 'happy', 'u', 'got', 'ta', 'let', 'shit', 'go', 'amp', 'let', 'shit']"
254,"['rt', 'anilsharma_dir', 'one', 'thing', 'makes', 'u', 'happy', 'u', 'go', 'towards', 'town', 'mumbai']"
255,"['rt', 'keelyhuurst', 'enjoy', 'money', 'hope', 'makes', 'u', 'happy', 'dear', 'lord']"
256,"['_nininibear', 'happy', 'birthday', 'hope', 'u', 'enjoy', 'rest', 'ur', 'day', 'ud83cudf89ud83cudf88']"
257,"['_shaiikhha', 'happy', 'birthday', 'beautifully', 'girl', 'enjoy', 'r', 'day', 'mixu2764ufe0fu2764ufe0fu2764ufe0fu2764ufe0f']"
258,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
259,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
260,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
261,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
262,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
263,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
264,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
265,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
