,0
46,"['stephanator_8so', 'happy', 'youu2019re', 'back', 'ud83eudd73']"
47,"['laurnie23nothing', 'like', 'babies', 'make', 'heart', 'happy']"
48,"['fastfox5gives', 'cheered', 'positive', 'happy', 'hug', 'friendship']"
49,"['rt', 'kimdionysus', 'hobiu2019s', 'happy', 'little', 'sounds', 'ud83eudd7a', 'httpstcoxu5a0s8f85']"
50,"['rt', 'rackedupsb', 'niggas', 'tryna', 'make', 'sure', 'u', 'gts', 'happy', 'n', 'u', 'complaining', 'smh']"
51,"['tatasterrariumm', 'happy', 'birthday', 'ud83eudd73']"
52,"['rt', 'tatiana5oz', 'u201dlearn', 'enjoy', 'every', 'minute', 'life', 'happy', 'dont', 'wait', 'something', 'outside', 'make', 'happy', 'inu2026']"
53,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
54,"['rt', 'nuriavxii', 'normalize', 'privacy', 'private', 'life', 'happy', 'one']"
55,"['aiww', 'sandy_english', 'r', 'u', 'happy', '161project', 'backtracked', 'main', 'causes', 'american', 'revolutionu202httpstcolv0bhjxo53']"
56,"['rt', 'otakettea', 'hes', 'perfect', 'im', 'happy', 'sungjinnwoo', 'sololeveling', 'ud83dudda4ud83dudc9httpstcomekhi4eedo']"
57,"['rt', 'fcbheadquarters', 'klopp', 'december', 'dont', 'think', 'mr', 'simeone', 'running', 'living', 'room', 'happy', 'got', 'liverpoolnnhe', 'didu2026']"
58,"['little', 'bit', 'older', 'lot', 'fabulous', 'u272happy', 'birthday', 'queen', 'andrea', 'brillantesnnhappybirthdayblytheu202httpstcofsmkktbztd']"
59,"['rt', 'mermaidmrym', 'itu2019s', 'okay', 'get', 'sad', 'itu2019s', 'okay', 'cry', 'canu2019t', 'happy', '24itu2019s', 'normal', 'feel', 'emotions', 'youu2019re', 'going', 'geu2026']"
60,"['really', 'hard', 'time', 'looking', 'body', 'mirror', 'avoid', 'costs', 'iu2019m', 'happy', 'mu202httpstcomft6tvzqp4']"
61,"['even', 'made', 'happy']"
62,"['finally', 'got', 'mom', 'stop', 'denying', 'im', 'bisexual', 'years', 'took', 'came', 'around', 'couldnt', 'happyud83dude01']"
